accepted_symbol,synonym_symbol,scientific_name,county,common_name,genus,family,family_common_name,order,subclass,class,division,growth_habit,active_growth_period,fall_conspicuous,foliage_color,foliage_texture,fruit_conspicuous,growth_form,base_age_height,mature_height,leaf_retention,lifespan,shape_orientation,toxicity,coarse_soil,medium_soil,fine_soil,drought_tolerance,moisture_use,minimum_precipitation,maximum_precipitation,minimum_root_depth,shade_tolerance,bloom_period,fruit_seed_abundance,fruit_nut_period_begin,fruit_nut_period_end,fruit_seed_persistence,berry_nut_seed_product,fodder_product,palatable_human
FRCA13,,Frangula caroliniana,"AR(Ashley, Baxter, Benton, Boone, Bradley, Carroll, Chicot, Clark, Clay, Cleburne, Columbia, Conway, Craighead, Crawford, Cross, Dallas, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Madison, Marion, Miller, Montgomery, Nevada, Newton, Ouachita, Perry, Pike, Poinsett, Polk, Pope, Pulaski, Randolph, Saline, Scott, Searcy, Sevier, Sharp, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",Carolina buckthorn,Frangula,Rhamnaceae,Buckthorn family,Rhamnales,Rosidae,Magnoliopsida,Magnoliophyta,"Shrub, Tree",,No,Green,Coarse,No,Single Crown,35,20,No,Short,Erect,,Yes,Yes,Yes,Low,,16,51,,Tolerant,Late Spring,,Summer,Fall,No,No,No,No
FRAM2,,Fraxinus americana,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",white ash,Fraxinus,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,Yes,Green,Fine,Yes,Single Stem,40,90,No,Moderate,Erect,None,Yes,Yes,No,Low,High,28,80,40,Intolerant,Mid Spring,High,Summer,Fall,No,No,No,No
FRCA3,,Fraxinus caroliniana,"AR(Arkansas, Ashley, Bradley, Calhoun, Clark, Cleveland, Columbia, Drew, Faulkner, Hempstead, Hot Spring, Lafayette, Miller, Ouachita, Union)",Carolina ash,Fraxinus,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring,Yes,Green,Coarse,No,Single Stem,39,39,No,Moderate,Erect,None,Yes,Yes,No,Low,High,36,65,12,Tolerant,Spring,Medium,Summer,Fall,No,No,No,No
FRPE,,Fraxinus pennsylvanica,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",green ash,Fraxinus,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,Yes,Yellow-Green,Coarse,No,Single Crown,35,65,No,Short,Irregular,None,Yes,Yes,Yes,Medium,Medium,15,39,40,Tolerant,Late Spring,High,Spring,Summer,No,No,No,No
FRPR,,Fraxinus profunda,"AR(Ashley, Bradley, Clay, Cleveland, Craighead, Jackson, Lincoln, Phillips, Poinsett)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FRQU,,Fraxinus quadrangulata,"AR(Baxter, Benton, Carroll, Clay, Crawford, Franklin, Garland, Hempstead, Izard, Johnson, Little River, Logan, Madison, Marion, Miller, Newton, Phillips, Polk, Pope, Searcy, Sevier, St. Francis, Stone, Washington)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GLAQ,,Gleditsia aquatica,"AR(Arkansas, Ashley, Bradley, Chicot, Clark, Clay, Columbia, Craighead, Crittenden, Cross, Desha, Drew, Grant, Greene, Hempstead, Jefferson, Lafayette, Lawrence, Lee, Lincoln, Little River, Lonoke, Miller, Mississippi, Monroe, Nevada, Ouachita, Phillips, Poinsett, Prairie, Pulaski, St. Francis, Union, Woodruff)",water locust,Gleditsia,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring,No,Green,Fine,No,Single Stem,60,40,No,Long,Erect,Slight,Yes,Yes,Yes,None,,16,68,36,Intermediate,Mid Summer,Low,Fall,Winter,No,No,No,No
GLTR,,Gleditsia triacanthos,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Yell)",honeylocust,Gleditsia,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,Magnoliophyta,"Shrub, Tree",Spring and Summer,Yes,Green,Medium,Yes,Single Crown,35,70,No,Moderate,Rounded,None,No,Yes,Yes,High,Medium,20,70,48,Intolerant,Late Spring,High,Spring,Fall,Yes,No,No,No
GYDI,,Gymnocladus dioicus,"AR(Arkansas, Baxter, Benton, Boone, Carroll, Clark, Cleburne, Crawford, Crittenden, Faulkner, Franklin, Fulton, Garland, Independence, Izard, Jefferson, Lawrence, Lee, Madison, Marion, Mississippi, Newton, Phillips, Pope, Pulaski, Randolph, Saline, Searcy, Sebastian, Sharp, St. Francis, Stone, Van Buren, Washington, White)",Kentucky coffeetree,Gymnocladus,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,No,Green,Coarse,Yes,,25,100,No,Long,Rounded,Severe,Yes,Yes,Yes,Medium,Medium,,,36,Intolerant,Early Summer,Medium,Fall,Spring,Yes,No,Yes,No
HATE3,,Halesia tetraptera,"AR(Carroll, Clark, Cleburne, Crawford, Franklin, Garland, Johnson, Montgomery, Newton, Polk, Pope, Pulaski, Saline, Van Buren)",mountain silverbell,Halesia,Styracaceae,Storax family,Ebenales,Dilleniidae,Magnoliopsida,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HATET,,Halesia tetraptera var. tetraptera,"AR(Carroll, Clark, Cleburne, Crawford, Franklin, Garland, Johnson, Montgomery, Newton, Polk, Pope, Pulaski, Saline, Van Buren)",mountain silverbell,Halesia,Styracaceae,Storax family,Ebenales,Dilleniidae,Magnoliopsida,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVE2,,Hamamelis vernalis,"AR(Baxter, Benton, Carroll, Clark, Cleburne, Conway, Crawford, Faulkner, Franklin, Garland, Hot Spring, Howard, Independence, Izard, Johnson, Logan, Madison, Marion, Montgomery, Newton, Perry, Pike, Polk, Pope, Pulaski, Saline, Scott, Searcy, Stone, Van Buren, Washington, White, Yell)",Ozark witchhazel,Hamamelis,Hamamelidaceae,Witch-hazel family,Hamamelidales,Hamamelididae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVI4,,Hamamelis virginiana,"AR(Ashley, Baxter, Benton, Bradley, Calhoun, Carroll, Clark, Cleburne, Columbia, Conway, Crawford, Dallas, Drew, Faulkner, Franklin, Garland, Grant, Hempstead, Hot Spring, Howard, Independence, Izard, Jefferson, Johnson, Lee, Lincoln, Logan, Madison, Montgomery, Nevada, Newton, Ouachita, Pike, Polk, Pope, Pulaski, Randolph, Saline, Searcy, St. Francis, Stone, Union, Van Buren, Washington, Yell)",American witchhazel,Hamamelis,Hamamelidaceae,Witch-hazel family,Hamamelidales,Hamamelididae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,No,Green,Coarse,Yes,Multiple Stem,15,20,No,Long,Semi-Erect,None,No,Yes,Yes,Low,Medium,30,60,20,Intermediate,Fall,Low,Spring,Summer,Yes,Yes,No,Yes
HISY,,Hibiscus syriacus,"AR(Bradley, Faulkner, Garland, Hempstead, Phillips, Pope, Pulaski, Scott, Washington)",rose of Sharon,Hibiscus,Malvaceae,Mallow family,Malvales,Dilleniidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILAM,,Ilex ambigua,"AR(Ashley, Clark, Conway, Desha, Faulkner, Garland, Hempstead, Independence, Izard, Johnson, Logan, Marion, Montgomery, Newton, Ouachita, Pike, Polk, Pope, Saline, Stone, Union)",Carolina holly,Ilex,Aquifoliaceae,Holly family,Celastrales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILDE,,Ilex decidua,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",possumhaw,Ilex,Aquifoliaceae,Holly family,Celastrales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,No,Dark Green,Medium,Yes,Multiple Stem,33,33,No,Moderate,Erect,Slight,Yes,Yes,Yes,Medium,Medium,30,60,12,Tolerant,Spring,High,Summer,Fall,Yes,No,No,No
ILLO,,Ilex longipes,"AR(Garland, Montgomery, Pike, Polk)",Georgia holly,Ilex,Aquifoliaceae,Holly family,Celastrales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILOP,,Ilex opaca,"AR(Arkansas, Ashley, Bradley, Calhoun, Chicot, Clark, Clay, Cleveland, Columbia, Conway, Craighead, Crittenden, Cross, Dallas, Desha, Drew, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Jefferson, Johnson, Lafayette, Lee, Lincoln, Little River, Lonoke, Miller, Mississippi, Monroe, Montgomery, Nevada, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pulaski, Saline, Scott, Sevier, St. Francis, Union)",American holly,Ilex,Aquifoliaceae,Holly family,Celastrales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,Green,Coarse,Yes,Single Stem,20,40,Yes,Moderate,Erect,None,Yes,Yes,No,Medium,Medium,40,80,30,Tolerant,Mid Spring,Low,Summer,Fall,Yes,Yes,No,No
ILOPO,,Ilex opaca var. opaca,"AR(Arkansas, Ashley, Bradley, Calhoun, Chicot, Clark, Clay, Cleveland, Columbia, Conway, Craighead, Crittenden, Cross, Dallas, Desha, Drew, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Jefferson, Johnson, Lafayette, Lee, Lincoln, Little River, Lonoke, Miller, Mississippi, Monroe, Montgomery, Nevada, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pulaski, Saline, Scott, Sevier, St. Francis, Union)",American holly,Ilex,Aquifoliaceae,Holly family,Celastrales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILVE,,Ilex verticillata,"AR(Ashley, Faulkner, Independence, Poinsett, Pulaski, Saline)",common winterberry,Ilex,Aquifoliaceae,Holly family,Celastrales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,Green,Coarse,Yes,Multiple Stem,6,10,No,Moderate,Climbing,None,No,Yes,Yes,Low,High,35,60,16,Intermediate,Late Spring,High,Summer,Fall,Yes,No,No,No
ILVO,,Ilex vomitoria,"AR(Clark, Drew, Garland, Hempstead, Hot Spring, Montgomery, Pike, Polk, Pulaski, Sevier)",yaupon,Ilex,Aquifoliaceae,Holly family,Celastrales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,Green,Coarse,Yes,Multiple Stem,20,25,Yes,Long,Erect,None,Yes,Yes,No,High,Low,36,55,20,Intermediate,Mid Spring,Medium,,,Yes,No,No,No
JUCI,,Juglans cinerea,"AR(Baxter, Benton, Clay, Craighead, Cross, Greene, Jefferson, Marion, Phillips, Poinsett, Randolph, St. Francis, Stone)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JUNI,,Juglans nigra,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Montgomery, Nevada, Newton, Ouachita, Perry, Pike, Poinsett, Polk, Pope, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Yell)",black walnut,Juglans,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,Magnoliophyta,Tree,Spring,No,Green,Medium,Yes,Single Stem,35,100,No,Moderate,Erect,Slight,No,Yes,No,Low,High,30,60,40,Intolerant,Late Spring,Low,Fall,Fall,No,Yes,No,Yes
JUAS,,Juniperus ashei,"AR(Baxter, Benton, Carroll, Hempstead, Independence, Izard, Lawrence, Little River, Logan, Marion, Newton, Searcy, Sevier, Sharp, Stone, Washington)",Ashe's juniper,Juniperus,Cupressaceae,Cypress family,Pinales,,Pinopsida,Coniferophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUVI,,Juniperus virginiana,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",eastern redcedar,Juniperus,Cupressaceae,Cypress family,Pinales,,Pinopsida,Coniferophyta,Tree,Spring and Summer,No,Green,Medium,Yes,Single Stem,25,50,No,Moderate,Conical,Slight,Yes,Yes,Yes,High,Low,15,68,20,Intermediate,Late Spring,Medium,Summer,Fall,Yes,No,No,No
JUVIV,,Juniperus virginiana var. virginiana,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",eastern redcedar,Juniperus,Cupressaceae,Cypress family,Pinales,,Pinopsida,Coniferophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEPI16,,Leitneria pilosa,"AR(Arkansas, Chicot, Clay, Craighead, Greene, Jackson, Jefferson, Lawrence, Lincoln, Mississippi, Randolph, Woodruff)",hairy corkwood,Leitneria,Leitneriaceae,Corkwood family,Leitneriales,Hamamelididae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEPIO,,Leitneria pilosa ssp. ozarkana,"AR(Arkansas, Chicot, Clay, Craighead, Greene, Jackson, Jefferson, Lawrence, Lincoln, Mississippi, Randolph, Woodruff)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LISI,,Ligustrum sinense,"AR(Arkansas, Ashley, Baxter, Bradley, Calhoun, Chicot, Clark, Cleburne, Cleveland, Conway, Desha, Drew, Faulkner, Garland, Grant, Hempstead, Jefferson, Johnson, Lafayette, Lincoln, Little River, Logan, Lonoke, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Phillips, Poinsett, Pope, Pulaski, Saline, Scott, Sevier, St. Francis, Union, Washington, White, Woodruff, Yell)",Chinese privet,Ligustrum,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBE3,,Lindera benzoin,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Calhoun, Carroll, Clark, Clay, Cleburne, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jefferson, Johnson, Lee, Little River, Logan, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Phillips, Pike, Poinsett, Polk, Pope, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Yell)",northern spicebush,Lindera,Lauraceae,Laurel family,Laurales,Magnoliidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,No,Green,Coarse,No,Multiple Stem,12,12,No,Long,Erect,None,No,Yes,Yes,Low,Medium,32,50,18,Intermediate,Mid Spring,Low,Summer,Fall,No,No,No,No
LIME7,,Lindera melissifolia,"AR(Clay, Craighead, Jackson, Lawrence, Woodruff)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LIST2,,Liquidambar styraciflua,"AR(Arkansas, Ashley, Benton, Bradley, Calhoun, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",sweetgum,Liquidambar,Hamamelidaceae,Witch-hazel family,Hamamelidales,Hamamelididae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,Yes,Green,Medium,Yes,Single Stem,45,100,No,Long,Erect,None,Yes,Yes,Yes,Low,High,40,60,36,Intolerant,Mid Spring,Medium,Summer,Fall,No,No,No,No
LITU,,Liriodendron tulipifera,"AR(Ashley, Chicot, Clark, Clay, Craighead, Cross, Desha, Faulkner, Franklin, Greene, Howard, Lawrence, Lee, Lonoke, Phillips, Poinsett, Pulaski, Saline, St. Francis, Union)",tuliptree,Liriodendron,Magnoliaceae,Magnolia family,Magnoliales,Magnoliidae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,Yes,Green,Medium,Yes,Single Stem,50,120,No,Moderate,Erect,None,Yes,Yes,No,Low,Medium,30,80,32,Intolerant,Mid Spring,High,Summer,Summer,No,No,No,No
MAPO,,Maclura pomifera,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Chicot, Clark, Cleburne, Conway, Craighead, Crawford, Crittenden, Cross, Drew, Faulkner, Franklin, Garland, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jefferson, Lafayette, Lee, Lincoln, Little River, Logan, Miller, Mississippi, Montgomery, Nevada, Newton, Phillips, Poinsett, Polk, Pope, Pulaski, Scott, Searcy, Sevier, St. Francis, Union, Washington, Yell)",Osage-orange,Maclura,Moraceae,Mulberry family,Urticales,Hamamelididae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,No,Green,Coarse,Yes,Single Stem,20,35,No,Long,Erect,None,Yes,Yes,No,Medium,Medium,24,40,32,Intolerant,Late Spring,Medium,Summer,Fall,No,No,No,No
MAAC,,Magnolia acuminata,"AR(Baxter, Carroll, Clark, Clay, Cleburne, Crawford, Cross, Faulkner, Franklin, Independence, Izard, Johnson, Lee, Logan, Madison, Marion, Newton, Phillips, Polk, Pope, Searcy, St. Francis, Stone, Van Buren, Washington)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MAGR4,,Magnolia grandiflora,"AR(Ashley, Bradley, Clark, Craighead, Faulkner, Hempstead, Pulaski, Union)",southern magnolia,Magnolia,Magnoliaceae,Magnolia family,Magnoliales,Magnoliidae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,Yes,Green,Coarse,Yes,Single Stem,40,100,Yes,Long,Rounded,None,No,Yes,Yes,Low,High,35,60,42,Tolerant,Mid Spring,Medium,Summer,Summer,Yes,No,No,No
MAMA2,,Magnolia macrophylla,AR(Clay),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MATR,,Magnolia tripetala,"AR(Clark, Faulkner, Franklin, Garland, Hot Spring, Johnson, Madison, Montgomery, Newton, Pike, Polk, Pope, Saline, Scott, Union)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MAVI2,,Magnolia virginiana,"AR(Ashley, Bradley, Calhoun, Chicot, Clark, Columbia, Dallas, Hempstead, Hot Spring, Lafayette, Nevada, Ouachita, Saline, Union)",sweetbay,Magnolia,Magnoliaceae,Magnolia family,Magnoliales,Magnoliidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,No,Dark Green,Medium,Yes,Single Stem,40,60,Yes,Moderate,Climbing,None,Yes,Yes,Yes,None,High,40,80,30,Intermediate,Summer,Medium,Summer,Winter,No,No,No,No
MAAN3,,Malus angustifolia,"AR(Ashley, Bradley, Clark, Clay, Columbia, Craighead, Desha, Drew, Fulton, Greene, Hempstead, Miller, Nevada, Newton, Ouachita, Phillips, Pike, Pulaski, St. Francis, Union, Yell)",southern crab apple,Malus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAANA,,Malus angustifolia var. angustifolia,"AR(Ashley, Bradley, Clark, Clay, Columbia, Craighead, Desha, Drew, Fulton, Greene, Hempstead, Miller, Nevada, Newton, Ouachita, Phillips, Pike, Pulaski, St. Francis, Union, Yell)",southern crab apple,Malus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACO5,,Malus coronaria,"AR(Clay, Craighead, St. Francis)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MAIO,,Malus ioensis,"AR(Benton, Craighead, Drew, Hempstead, Howard, Jackson, Montgomery, Washington)",prairie crab apple,Malus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,Green,Medium,Yes,Single Stem,20,25,No,Moderate,Irregular,None,Yes,Yes,Yes,High,Medium,30,45,30,Intolerant,Mid Spring,Medium,Summer,Summer,Yes,Yes,No,No
MAIOI,,Malus ioensis var. ioensis,"AR(Benton, Craighead, Drew, Hempstead, Howard, Jackson, Montgomery, Washington)",prairie crab apple,Malus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
